name,address,price,score,foods,recomment,pic
胜博殿(新光三越天母店),台北市士林区天母东路68号7F,未知价格,5.0,"日本料理, 其他",1,https://dimg04.c-ctrip.com/images/0106212000iwrsraxA338_R_220_140.jpg
一时(灵隐店),西湖街道灵隐景区天竺路13号(灵隐寺大门南30米、灵隐宾馆旁),￥212,5.0,暂无推荐,8,https://dimg04.c-ctrip.com/images/10010n000000etyicB080_R_220_140.png
Origami Kids Cafe,香港九龍灣承豐道B區北面平台啟德郵輪碼頭33號,未知价格,5.0,暂无推荐,2,https://dimg04.c-ctrip.com/images/0101n12000izf0hpk18CB_R_220_140.jpg
Wei菋•Le Bistrot,芙蓉西路芙蓉新天地3号楼2层,￥290,5.0,西餐,5,https://dimg04.c-ctrip.com/images/0106j120009cu6xs78343_R_220_140.jpg
解牛·碳火牛肉盖饭(白龙江西街...,白龙江西街62号111室,￥90,5.0,日本料理,4,https://dimg04.c-ctrip.com/images/10011800000140lugEDEE_R_220_140.jpg
三里屯土灶炖公鸡地锅鸡(江东店),惊驾路285号,￥66,5.0,农家菜,2,https://dimg04.c-ctrip.com/images/1me6q12000dp2rbqqA48F_R_220_140.jpg
霸蛮湖南米粉(大望路店),北京市朝阳区建国路93号院A座新世界彩旋百货5层L05F003,￥31,5.0,"小吃, 面食, 米粉/米线",3,https://dimg04.c-ctrip.com/images/100d0r000000gxp9772CA_R_220_140.jpg
好利来(津塘路人人乐店),津塘路59号增1号人人乐超市内,￥132,5.0,面包甜点,1,https://dimg04.c-ctrip.com/images/0105m120009ec6i9s71A4_R_220_140.jpg
老诚一锅(小营路店),小营东路甲5号,￥117,5.0,"其他火锅, 羊蝎子火锅, 火锅",2,https://dimg04.c-ctrip.com/images/0102q12000g55x8zyE7E8_R_220_140.jpg
紫光园(怀柔万达广场店),青春路与西园路交叉路口万达广场5层,￥80,5.0,"北京菜, 其他北京菜, 烤鸭",2,https://dimg04.c-ctrip.com/images/0104q12000d4ys7vd9285_R_220_140.jpg
西贝莜面村(怀柔万达店),青春路万达广场6楼,￥102,5.0,西北菜,2,https://dimg04.c-ctrip.com/images/10071800000143k3b2B82_R_220_140.jpg
秀·韩式烤肉(坪洲店),新湖路君澜酒店楼下,￥87,5.0,"韩国料理, 韩国烤肉",3,https://dimg04.c-ctrip.com/images/0100b120008ya797a6568_R_220_140.jpg
四季缤纷椰子鸡(天健壹平方英里...,芙蓉中路天健壹平方英里H栋2楼,￥102,5.0,其他中餐,7,https://dimg04.c-ctrip.com/images/10030y000000mhjo04684_R_220_140.jpg
超级神牛炭火烤肉(总店),江都路街道真理道408号秀山花园底商(家乐福旁),￥74,5.0,"韩国料理, 韩国烤肉, 烧烤",1,https://dimg04.c-ctrip.com/images/0104a1200091css1p2AB7_R_220_140.jpg
宽窄巷(火锅&冷锅),天津市南开区鞍山西道风荷园3号楼2门101号,￥63,5.0,"火锅, 其他火锅, 串串香, 小吃",1,https://dimg04.c-ctrip.com/images/100r0v000000js8ma390D_R_220_140.jpg
吉野家(长江道店),天津市南开区长江道12号宝利国际广场F1层,￥44,5.0,"其他快餐, 日本料理, 快餐简餐",1,https://dimg04.c-ctrip.com/images/0100p1200097s85pl1E58_R_220_140.jpg
奉天小满鱼头泡饼(太原街万达店),太原南街万达广场3楼331号,￥77,5.0,东北菜,88,https://dimg04.c-ctrip.com/images/100m15000000xg395CEDD_R_220_140.jpg
家·畔酱骨群乐园骨头馆(长白万...,"长白西路66号3门（近中石化,麦当劳对面）",￥68,5.0,东北菜,1,https://dimg04.c-ctrip.com/images/100r0k000000chpcy8FC9_R_220_140.jpg
质馆咖啡(爱琴海店),虹井路120弄3号楼新华红星国际广场A栋112号,￥40,5.0,咖啡店,2,https://dimg04.c-ctrip.com/images/01A0112000833ow6tC1F9_R_220_140.jpg
欣妹鸡杂(中海国际店),汇川街318号5栋1层附105号,未知价格,5.0,"川菜, 其他川菜",6,https://dimg04.c-ctrip.com/images/1me1v12000agvqjno5304_R_220_140.jpg
巴色鱼捞(时代天街直营店),龙湖·时代天街商场3楼,￥77,5.0,"鱼火锅, 火锅",1,https://dimg04.c-ctrip.com/images/100a1c000001c855z6728_R_220_140.jpg
鲜湘季·湖南土菜(农林店),农林路鑫竹苑C座二层（高级中学初中部对面）,未知价格,5.0,湘菜,1,https://dimg04.c-ctrip.com/images/1mh5v12000b0bcli2C513_R_220_140.jpg
熊喵来了火锅(中街皇城恒隆黑金...,中街皇城恒隆4楼,未知价格,5.0,"川味/重庆火锅, 川味火锅, 火锅",6,https://dimg04.c-ctrip.com/images/1me0212000ajj8aww0D93_R_220_140.jpg
直隶安家牛肉罩饼(新石店),新石北路68-1号天下玉苑商铺,￥63,5.0,"小吃, 快餐简餐, 其他快餐, 其他小吃",27,https://dimg04.c-ctrip.com/images/0106k120009gzqxc1C409_R_220_140.jpg
元兆寿司(金山店),金祥路194号,未知价格,5.0,"寿司, 日本料理",1,https://dimg04.c-ctrip.com/images/0103u120009gj7uyvBE69_R_220_140.jpg
大快乐牛排咖啡馆(南溪店),福临路88号钻石城1楼A1-12楼2-1号,￥66,5.0,"其他西餐, 西餐",2,https://dimg04.c-ctrip.com/images/100p15000000xswa6AA7F_R_220_140.jpg
吉牛烧肉(万科店),万科美好广场3楼,￥107,5.0,"日本料理, 烧烤, 其他日本料理, 烤肉",1,https://dimg04.c-ctrip.com/images/010511200090sxs568DBE_R_220_140.jpg
米贩咖啡,台北市大安区安和路一段78巷34号,￥89,5.0,"其他, 其他西餐, 咖啡店, 西餐, 日本料理",2,https://dimg04.c-ctrip.com/images/10070m000000dzewk8D10_R_220_140.png
郑记猪脚饭,台北市中正区延平南路22号,￥31,5.0,"其他, 快餐简餐",4,https://dimg04.c-ctrip.com/images/100f060000001mvxqF39C_R_220_140.jpg
忠南饭馆,台北市大安区仁爱路三段88号(建国南路),￥66,5.0,"台湾菜, 其他中餐",1,https://dimg04.c-ctrip.com/images/0102z2215439ay27kF978_R_220_140.jpg
吴家牛肉面,台北市北投区中央北路一段222号,￥43,5.0,"台湾菜, 面食, 小吃, 快餐简餐, 亚洲菜",1,https://dimg04.c-ctrip.com/images/1mi12224x8zsotueyEF49_R_220_140.jpg
大户屋,"中国,台北市,No. 1, Sec. 1, Chengde Rd., Datong Dist,103",￥80,5.0,日本料理,2,https://dimg04.c-ctrip.com/images/0100b12000izerw23EACF_R_220_140.jpg
东海怡品海鲜豆捞(广益店),广南路315号哥伦布广场18栋102室,￥260,5.0,"其他火锅, 火锅",2,https://dimg04.c-ctrip.com/images/100m15000000xg2v3885B_R_220_140.jpg
漁釧,將軍澳唐德街9號將軍澳中心地下G89號舖,未知价格,5.0,"日式拉面, 日本料理, 居酒屋, 寿司, 其他日本料理",1,https://dimg04.c-ctrip.com/images/1mi512234aqo1noxc2C7F_R_220_140.jpg
豪客来(相城天虹商场店),江苏省苏州市相城区相城大道1168号天虹购物中心F5,￥73,5.0,"其他西餐, 牛排, 西餐",1,https://dimg04.c-ctrip.com/images/0106e12000bxrlmfi553F_R_220_140.jpg
百盛人家(冬青路店),冬青路45号（广慈医院斜对面）,￥303,5.0,"江浙菜, 其他, 其他江浙菜, 私房菜, 创意菜",10,https://dimg04.c-ctrip.com/images/01A2s120009af70de2FD2_R_220_140.jpg
初音料理,欣彤路世纪金源购物中心一楼临江（近星巴克）,￥552,5.0,日本料理,2,https://dimg04.c-ctrip.com/images/100c180000013qap1B0BC_R_220_140.jpg
回味鸭血粉丝汤(建邺金街店),建邺区集庆门大街214-22号,￥20,5.0,"快餐简餐, 小吃, 中式快餐, 其他小吃",3,https://dimg04.c-ctrip.com/images/01030120008jc4q9sBD40_R_220_140.jpg
梧桐Plus·创意·成都味(金宝汇...,金宝街84号金宝汇购物中心二期六层609AB,￥634,5.0,"川菜, 其他川菜",18,https://dimg04.c-ctrip.com/images/0104c120009oe66x09D9A_R_220_140.jpg
知幸寿喜锅(滨海万达店),新华路909号万达4楼,￥121,5.0,"日本料理, 日式火锅",2,https://dimg04.c-ctrip.com/images/100v15000000xhr955DC7_R_220_140.jpg
蕾迪家手工千层蛋糕(金山湖店),环湖一路悦湖会花园3栋08、09-1号商铺,￥37,5.0,"面包甜点, 面包店, 饮品",8,https://dimg04.c-ctrip.com/images/01A6e120009igopls860F_R_220_140.png
蘭玥舍桌游酒吧,四川省成都市金牛区西安路街道王家巷无里创意园二期2-12(贝贝康宠物诊所对面),￥107,5.0,酒吧/酒馆,1,https://dimg04.c-ctrip.com/images/0106f12000af5j3ot6C5E_R_220_140.jpg
忘浮沉民谣吧,县正街3-1号,￥62,5.0,酒吧/酒馆,3,https://dimg04.c-ctrip.com/images/0105g12000ap569rv6457_R_220_140.jpg
红九格老火锅(三峡广场店),渝碚路三峡广场陈家湾入口华夏银座2楼(炫地购物中心正对面),￥82,5.0,"火锅, 川味/重庆火锅",53,https://dimg04.c-ctrip.com/images/0105v1200094p4t2u88A1_R_220_140.jpg
西塔脊骨土豆汤烤五花肉(万福街...,万福街672号,￥71,5.0,韩国料理,2,https://dimg04.c-ctrip.com/images/01040120008bs78203FD3_R_220_140.jpg
麻六记(朝阳大悦城店),青年路朝阳大悦城6层南侧扶梯口(近满记甜品),￥127,5.0,"川菜, 其他川菜",10,https://dimg04.c-ctrip.com/images/01074120009pksasr8A71_R_220_140.jpg
